page,id,format,pgfplots,plot,model,path
3,page-3-part-a-number-line,tikz,False,False,False,linear-complete-page-3/0/content/children/0/questionDiagrams/0
3,page-3-part-b-number-line,tikz,False,False,False,linear-complete-page-3/0/content/children/1/questionDiagrams/0
3,page-3-part-c-number-line,tikz,False,False,False,linear-complete-page-3/0/content/children/2/questionDiagrams/0
3,page-3-part-d-number-line,tikz,False,False,False,linear-complete-page-3/0/content/children/3/questionDiagrams/0
5,page-5-q1-a-diagram,image,False,False,False,linear-complete-page-5/2/content/children/0/questionDiagrams/0
5,page-5-q1-a-plotted-answer,tikz,False,False,True,linear-complete-page-5/2/content/children/0/answer/solutionDiagrams/0
5,page-5-q1-b-diagram,image,False,False,False,linear-complete-page-5/2/content/children/1/questionDiagrams/0
5,page-5-q1-b-plotted-answer,tikz,False,False,True,linear-complete-page-5/2/content/children/1/answer/solutionDiagrams/0
6,page-6-q1-diagram,image,False,False,False,linear-complete-page-6/0/content/questionDiagrams/0
6,page-6-q3-diagram,image,False,False,False,linear-complete-page-6/2/content/questionDiagrams/0
6,page-6-q3-root-plotted-answer,tikz,False,False,True,linear-complete-page-6/2/content/answer/solutionDiagrams/0
7,page-7-q4-grid,tikz,False,False,False,linear-complete-page-7/0/content/questionDiagrams/0
7,page-7-q4-solution,tikz,False,False,False,linear-complete-page-7/0/content/answer/solutionDiagrams/0
7,page-7-q5-diagram,tikz,False,False,False,linear-complete-page-7/1/content/questionDiagrams/0
7,page-7-q5-solution,tikz,False,False,False,linear-complete-page-7/1/content/answer/solutionDiagrams/0
8,page-8-q6-a-editable-graph,tikz,False,False,False,linear-complete-page-8/0/content/children/0/questionDiagrams/0
8,page-8-q6-b-editable-graph,tikz,False,False,False,linear-complete-page-8/0/content/children/1/questionDiagrams/0
8,page-8-q6-c-editable-graph,tikz,False,False,False,linear-complete-page-8/0/content/children/2/questionDiagrams/0
8,page-8-q6-d-editable-graph,tikz,False,False,False,linear-complete-page-8/0/content/children/3/questionDiagrams/0
8,page-8-q7-diagram,image,False,False,False,linear-complete-page-8/1/content/questionDiagrams/0
8,page-8-q7-root-solution,tikz,False,False,True,linear-complete-page-8/1/content/sharedSolutionDiagrams/0
9,page-9-q8-grid,tikz,False,False,False,linear-complete-page-9/0/content/questionDiagrams/0
9,page-9-q8-node-shared-solution,tikz,False,False,False,linear-complete-page-9/0/content/sharedSolutionDiagrams/0
9,page-9-q9-diagram,tikz,False,False,False,linear-complete-page-9/1/content/questionDiagrams/0
9,page-9-q10-grid,tikz,False,False,False,linear-complete-page-9/2/content/questionDiagrams/0
9,page-9-q10-node-shared-solution,tikz,False,False,False,linear-complete-page-9/2/content/sharedSolutionDiagrams/0
10,page-10-q11-diagram,image,False,False,False,linear-complete-page-10/0/content/questionDiagrams/0
10,page-10-q12-diagram,image,False,False,False,linear-complete-page-10/1/content/children/0/questionDiagrams/0
11,page-11-q13-diagram,image,False,False,False,linear-complete-page-11/0/content/questionDiagrams/0
11,page-11-q14-diagram,image,False,False,False,linear-complete-page-11/1/content/questionDiagrams/0
11,page-11-q15-diagram,image,False,False,False,linear-complete-page-11/2/content/questionDiagrams/0
12,page-12-q16-a-diagram,image,False,False,False,linear-complete-page-12/0/content/children/0/questionDiagrams/0
12,page-12-q16-b-diagram,image,False,False,False,linear-complete-page-12/0/content/children/1/questionDiagrams/0
